Date/Time,Word Count,en,es,fr,it,nl,nl-BE,pt
2025.11.05-16.11.33,327,327,0,0,0,0,0,0
2025.11.05-16.19.22,329,329,0,0,0,0,0,0
2025.11.06-09.47.55,524,524,0,6,0,0,0,0
2025.11.06-11.28.33,532,532,0,211,0,0,0,0
2025.11.12-10.04.17,594,594,0,249,0,0,0,0
2025.11.12-11.37.52,594,594,0,249,238,0,0,0
2025.11.13-09.15.36,594,594,0,249,238,0,238,0
2025.11.13-09.27.09,594,594,0,249,238,238,238,0
2025.11.13-09.28.53,594,594,238,249,238,238,238,0
2025.11.13-09.35.56,594,594,238,249,238,238,238,238
2025.11.13-14.29.49,797,797,238,249,238,238,238,238
2025.11.14-13.53.50,797,797,387,398,387,387,308,301
2025.11.14-13.56.16,797,797,387,398,387,387,308,387
2025.11.14-14.01.07,797,797,387,398,387,387,387,387
2025.11.14-14.21.36,797,797,390,398,390,390,387,390
2025.11.14-14.27.44,797,797,392,398,392,392,387,392
